I have never been there,Я никогда там не был,никогда
She might come tomorrow,Она может прийти завтра,может
We should visit them,Нам стоит их навестить,стоит
If I knew I would tell,Если бы знал я бы сказал,знал
They had already eaten,Они уже поели,уже
I was watching TV,Я смотрел телевизор,смотрел
She has been working,Она работала,работала
We could try again,Мы могли бы попробовать снова,могли
He must be sleeping,Он наверное спит,наверное
They were dancing,Они танцевали,танцевали
I will call you later,Я позвоню тебе позже,позвоню
She would help us,Она бы нам помогла,помогла
We have to leave now,Нам надо уходить сейчас,надо
He seems tired,Он выглядит уставшим,выглядит
They've just arrived,Они только что приехали,только
I was going to say,Я собирался сказать,собирался
She can swim well,Она умеет хорошо плавать,умеет
We might be late,Мы можем опоздать,можем
He should apologize,Ему следует извиниться,следует
They won't believe us,Они нам не поверят,поверят
You ought to apologize,Тебе следует извиниться,следует
We were about to leave,Мы уже собирались уходить,собирались
She may have forgotten,Она возможно забыла,возможно
I'd rather stay home,Я бы предпочёл остаться дома,предпочёл
This needs considering,Это требует рассмотрения,рассмотрения
He's bound to succeed,Он непременно добьётся успеха,непременно
We've run out of sugar,У нас закончился сахар,закончился
I wish I knew earlier,Жаль что я не знал раньше,жаль
Keep an eye on him,Присматривай за ним,присматривай
She seems upset,Она кажется расстроенной,кажется
I'm done with work,Я закончил с работой,закончил
Don't let him down,Не подводи его,подводи
It's worth trying,Это стоит попробовать,стоит
He talks nonstop,Он говорит без остановки,остановки
We barely made it,Мы едва успели,едва
She's prone to crying,Она склонна к слезам,склонна
I screwed up,Я облажался,облажался
They hit it off,Они сразу поладили,поладили
It slipped my mind,Это вылетело у меня из головы,вылетело
You're better off here,Тебе будет лучше здесь,лучше
He should've called earlier,Ему следовало позвонить раньше,следовало
We might go camping,Мы возможно пойдём в поход,возможно
She's been working overtime,Она работала сверхурочно,сверхурочно
I'd rather not discuss it,Я бы предпочёл не обсуждать это,предпочёл
They must have forgotten,Они наверное забыли,наверное
You ought to be careful,Тебе следует быть осторожным,следует
We were to meet at 5,Мы должны были встретиться в 5,должны
She seems to be upset,Она кажется расстроенной,кажется
I'll have finished by noon,Я закончу к полудню,закончу
He can't have known,Он не мог знать,мог
The project needs revising,Проект требует доработки,требует
We'd better hurry,Нам лучше поторопиться,лучше
She may be running late,Она возможно задерживается,возможно
I wish I hadn't said that,Жаль что я это сказал,жаль
They're bound to succeed,Они непременно добьются успеха,непременно
You're supposed to wait,Ты должен ждать,должен
It was about to rain,Собирался начаться дождь,собирался
She's likely to agree,Она вероятно согласится,вероятно
We've run out of options,У нас закончились варианты,закончились
He must be joking,Он наверное шутит,наверное
I was just leaving,Я как раз уходил,уходил
They should be here by now,Они уже должны были прийти,должны
She tends to worry,Она склонна волноваться,склонна
We could've taken a taxi,Мы могли бы взять такси,могли
You're not to touch that,Тебе нельзя это трогать,нельзя
It's not worth arguing,Не стоит спорить,стоит
He happened to be there,Он случайно оказался там,оказался
We're due for a change,Нам пора что-то менять,пора
She's sure to remember,Она точно помнит,точно
I'd prefer to stay,Я бы предпочёл остаться,предпочёл
They were to arrive yesterday,Они должны были приехать вчера,должны
You might want to reconsider,Возможно тебе стоит пересмотреть,стоит
It's likely to rain,Вероятно будет дождь,вероятно
We're not supposed to know,Нам не положено знать,положено
She was about to call,Она собиралась позвонить,собиралась
I'd sooner leave now,Я бы предпочёл уйти сейчас,предпочёл
They must be sleeping,Они наверное спят,наверное
You're bound to like it,Тебе непременно понравится,непременно
We'd just finished eating,Мы только что поели,только
She can't stand waiting,Она не выносит ожидания,выносит
He's supposed to call back,Он должен перезвонить,должен
I might have left it,Возможно я это оставил,возможно
They were seen leaving,Их видели уходящими,видели
We're to meet at 8,Мы должны встретиться в 8,должны
She's likely to refuse,Она вероятно откажется,вероятно
You ought to know better,Тебе следовало бы знать лучше,следовало
It's not to be opened,Это нельзя открывать,нельзя
He happened to see it,Он случайно это увидел,увидел
We'd better not tell,Нам лучше не говорить,лучше
She seems to have forgotten,Она кажется забыла,кажется
They're sure to complain,Они обязательно пожалуются,обязательно
I was to return by 5,Я должен был вернуться к 5,должен
You might as well stay,Тебе можно и остаться,можно
It needs to be done,Это нужно сделать,нужно
We're likely to win,Мы вероятно выиграем,вероятно
She's bound to be late,Она непременно опоздает,непременно
I'd rather you didn't know,Я бы предпочёл чтобы ты не знал,предпочёл
They must have missed,Они наверное пропустили,наверное
You're not supposed to smoke,Тебе нельзя курить,нельзя
We were about to start,Мы собирались начать,собирались
He's likely to agree,Он вероятно согласится,вероятно
I wish I could help,Жаль что я не могу помочь,жаль
They're to arrive tomorrow,Они должны приехать завтра,должны
You'd better check,Тебе лучше проверить,лучше
She seems to be improving,Она кажется улучшается,кажется
We might have taken wrong,Мы возможно ошиблись,возможно
