I see a cat,Я вижу кота,вижу
She has a dog,У неё есть собака,есть
We go to school,Мы ходим в школу,ходим
Open the book,Открой книгу,открой
This is my pen,Это моя ручка,моя
They play games,Они играют в игры,играют
I'm thirsty,Я хочу пить,хочу
It's snowing,Идёт снег,снег
Close the box,Закрой коробку,закрой
He is sad,Он грустный,грустный
My mom cooks well,Моя мама хорошо готовит,готовит
The sky is blue,Небо голубое,голубое
I need a pencil,Мне нужен карандаш,нужен
She reads books,Она читает книги,читает
We live in Moscow,Мы живём в Москве,живём
Give me water,Дай мне воды,дай
The dog barks,Собака лает,лает
I like apples,Я люблю яблоки,люблю
He runs quickly,Он быстро бегает,бегает
This is a table,Это стол,стол
The bird is singing,Птица поёт,поёт
My shoes are dirty,Мои туфли грязные,грязные
Wash your hands,Мой руки,мой
The bus is coming,Автобус едет,едет
I lost my key,Я потерял ключ,потерял
This juice is sweet,Этот сок сладкий,сладкий
Turn off the light,Выключи свет,выключи
Her dress is pretty,Её платье красивое,красивое
I broke the cup,Я разбил чашку,разбил
The tree is tall,Дерево высокое,высокое
Draw a picture,Нарисуй картинку,нарисуй
My head hurts,У меня болит голова,болит
The soup is hot,Суп горячий,горячий
Cut the paper,Разрежь бумагу,разрежь
I smell flowers,Я чувствую запах цветов,запах
The baby is smiling,Младенец улыбается,улыбается
Fold the clothes,Сложи одежду,сложи
The moon is bright,Луна яркая,яркая
I need scissors,Мне нужны ножницы,ножницы
The wind is blowing,Ветер дует,дует
The sun is hot,Солнце горячее,горячее
I need a chair,Мне нужен стул,стул
She washes dishes,Она моет посуду,моет
The fish swims,Рыба плавает,плавает
My bag is heavy,Моя сумка тяжёлая,тяжёлая
Point to the door,Покажи на дверь,покажи
The clock ticks,Часы тикают,тикают
I hear music,Я слышу музыку,слышу
Wipe the table,Протри стол,протри
His shirt is blue,Его рубашка синяя,синяя
The grass is green,Трава зелёная,зелёная
I want milk,Я хочу молоко,молоко
She ties her shoes,Она завязывает шнурки,завязывает
The phone rings,Телефон звонит,звонит
Our house is big,Наш дом большой,большой
Touch your nose,Дотронься до носа,дотронься
The baby sleeps,Младенец спит,спит
I eat bread,Я ем хлеб,ем
Sweep the floor,Подмети пол,подмети
Her hair is long,У неё длинные волосы,длинные
The snow is white,Снег белый,белый
I need help,Мне нужна помощь,помощь
He drives a car,Он водит машину,водит
The bell sounds,Колокол звучит,звучит
Your coat is warm,Твоё пальто тёплое,тёплое
Count to five,Считай до пяти,считай
The fire burns,Огонь горит,горит
I drink juice,Я пью сок,пью
Fold the paper,Сложи бумагу,сложи
My socks are wet,Мои носки мокрые,мокрые
The stars shine,Звёзды светят,светят
I like tea,Я люблю чай,чай
She buys fruit,Она покупает фрукты,покупает
The dog wags its tail,Собака виляет хвостом,виляет
Our teacher is kind,Наш учитель добрый,добрый
Clap your hands,Хлопай в ладоши,хлопай
The river flows,Река течёт,течёт
I write a letter,Я пишу письмо,пишу
Wash the apple,Помой яблоко,помой
His pants are black,Его брюки чёрные,чёрные
The cake is sweet,Торт сладкий,сладкий
I need sleep,Мне нужно спать,спать
He fixes bikes,Он чинит велосипеды,чинит
The baby cries,Младенец плачет,плачет
Your shoes are shiny,Твои туфли блестящие,блестящие
Jump high,Прыгай высоко,прыгай
The leaves fall,Листья падают,падают
I read a book,Я читаю книгу,читаю
Dry your hands,Вытри руки,вытри
My jacket is new,Моя куртка новая,новая
The coffee is bitter,Кофе горький,горький
I want peace,Я хочу мира,мира
She feeds the cat,Она кормит кота,кормит
The ball rolls,Мяч катится,катится
Our garden is nice,Наш сад красивый,красивый
Wave your hand,Помаши рукой,помаши
The sun sets,Солнце садится,садится
I draw a house,Я рисую дом,рисую
Clean the window,Помой окно,помой
Her gloves are warm,Её перчатки тёплые,тёплые
The soup smells good,Суп вкусно пахнет,пахнет
I need air,Мне нужен воздух,воздух
He catches fish,Он ловит рыбу,ловит
The baby laughs,Младенец смеётся,смеётся
Your dress is pretty,Твоё платье красивое,красивое
Spin around,Покружись,покружись
The wind howls,Ветер воет,воет
I sing a song,Я пою песню,пою
Tie your laces,Завяжи шнурки,завяжи
My hat is red,Моя шапка красная,красная
The milk is cold,Молоко холодное,холодное
I want candy,Я хочу конфету,конфету
She waters plants,Она поливает растения,поливает
The car honks,Машина сигналит,сигналит
Our street is quiet,Наша улица тихая,тихая
Snap your fingers,Щёлкни пальцами,щёлкни
The rain stops,Дождь прекращается,прекращается
I count money,Я считаю деньги,считаю
Peel the potato,Почисти картошку,почисти
His tie is striped,Его галстук в полоску,полоску
The bread is fresh,Хлеб свежий,свежий
I need time,Мне нужно время,время
He builds houses,Он строит дома,строит
The cat purrs,Кот мурлычет,мурлычет
Your bag is light,Твоя сумка лёгкая,лёгкая
Nod your head,Кивни головой,кивни
The snow melts,Снег тает,тает
I watch TV,Я смотрю телевизор,смотрю
Brush your teeth,Почисти зубы,почисти
My scarf is soft,Мой шарф мягкий,мягкий
The eggs boil,Яйца варятся,варятся
I want rest,Я хочу отдохнуть,отдохнуть
She sells flowers,Она продаёт цветы,продаёт
The door creaks,Дверь скрипит,скрипит
Our room is clean,Наша комната чистая,чистая
Shake hands,Пожми руку,пожми
The ice cracks,Лёд трескается,трескается
I pack my bag,Я собираю сумку,собираю
Cut the bread,Нарежь хлеб,нарежь
Her boots are sturdy,Её сапоги прочные,прочные
The butterfly flies,Бабочка летает,летает
I smell cookies,Я чувствую запах печенья,печенья
The pillow is soft,Подушка мягкая,мягкая
Wash your face,Умой лицо,умой
The train is loud,Поезд громкий,громкий
I hug my mom,Я обнимаю маму,обнимаю
The soap is slippery,Мыло скользкое,скользкое
Zip your jacket,Застегни молнию,застегни
The grapes are juicy,Виноград сочный,сочный
I pat the dog,Я глажу собаку,глажу
